date,link,type,cdmid,title,description,id,people
1960,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6887,Sound,6887,Art Farmer Blindfold Test,Art Farmer participates in one of Leonard Feather's blindfold tests. Art Farmer was an American jazz trumpeter.,lf.iv.bft_farmer,Art Farmer
1961-06,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6888,Sound,6888,Victor Feldman Piano Lesson,Victor Feldman gives a lesson on piano chords during an interview. Victor Feldman was a jazz musician.,lf.iv.bft_feldman,Victor Feldman
1961,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6889,Sound,6889,The Adderley Brothers Blindfold Test -- Arthur Godfrey's Commentary -- Al Hirt Blindfold Test,"The Adderley Brothers participate in one of Leonard Feather's blindfold tests. Nat Adderley was an American jazz trumpeter and ""Cannonball"" Adderley was an American saxophonist. Brief interlude of Arthur Godfrey commenting on one of Leonard Feather's compositions. Arthur Godfrey was an American radio broadcaster. Al Hirt participates in one of Leonard Feather's blindfold tests. Al Hirt was an American trumpeter. 24:40 Arthur Godfrey commentary; 26:50 Al Hirt blindfold test.",lf.iv.bft_adderley,Nat Adderley; 'Cannonball' Adderly; Adderly Brothers; Arthur Godfrey; Al Hirt
1960,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6890,Sound,6890,Calvin Jackson Blindfold Test -- Art Blakey Interview & Blindfold Test -- Herb Ellis Blindfold Test,"Calvin Jackson participates in one of Leonard Feather's blindfold tests. Calvin Jackson was an American jazz pianist. Leonard Feather interviews Art Blakey about jazz in general an Blakey's career. Blakey also participates in one of Feather's blindfold tests. Art Blakey was an American jazz drummer. Herb Ellis participates in one of Leonard Feather's blindfold tests. Ellis' blindfold test was interrupted by a phone call directed to Feather. Herb Ellis was an American jazz guitarist. 0:35 Art Blakey interview; 10:20 Art Blakey blindfold test; 32:30 Herb Ellis blindfold test; 36:45 Leonard on the phone with ""Tony.""",lf.iv.bft_blakey,Calvin Jackson; Art Blakey; Herb Ellis;
1962-06,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6891,Sound,6891,Oscar Brown Blindfold Test,"This is a recording of a Blindfold Test interview taken by Leonard Feather in June 1962 with Oscar Brown. Leonard created the """"Blindfold Test"""" for Metronome magazine and later for DownBeat magazine. The test also became a segment of Feather's radio show """"Platterbrains."""" It consisted of artists listening to a recording, without knowledge of the performer and then offering an opinion, this process often resulting in surprising results.",lf.iv.bft_brown,Oscar Brown
6/1/1953,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6892,Sound,6892,Leonard Feather's Daughter Billie Jane,"Billie Jane (a.k.a. Lorraine Feather) singing with her father, Leaonard Feather, playing the piano. She then tells a story of Goldilocks and the three bears and converses with her family members. In the background there is a subtle blindfold test with Dave Garroway that could be magnetic bleed from another recording.",lf.iv.bft_garroway,Billie Jane; Lorraine Feather; Dave Garroway
1965,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6893,Sound,6893,Dexter Gordon Blindfold Test -- Unidentified Individuals Blindfold Test,Recording identified as most likely a Dexter Gordon participating in one of Leonard Feather's blindfold tests. Another unidentified artist participates in one of Leonard Feather's blindfold tests. 19:39 Unidentified Blindfold Test; 23:34 Music until end.,lf.iv.bft_gumina,Dexter Gordon; unidentified artist;
10/1/1960,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6894,Sound,6894,George Russell Blindfold Test,George Russell participates in one of Leonard Feather's blindfold tests. George Russell was an American jazz pianist.,lf.iv.bft_jones,George Russell; 
1958,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6895,Sound,6895,"Duke Ellington Interview & Blindfold Test--Leonard Feather's Advice--""The Encyclopedia of Jazz""","Leonard Feather interviews Duke Ellington about the music of that time. Duke Ellington also participates in one of Leonard Feather's blindfold tests. Leonard Feather gives advice to an unidentified person in a band. Leonard Feather talks about ""The Encyclopedia of Jazz"" with music in the background.",lf.iv.bft_playboy,Duke Ellington; unidentified person
1962-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6896,Sound,6896,Ben Pollack Interview,Leonard Feather interviews Ben Pollack about new music and Pollack's biography. Ben Pollack was an American drummer.,lf.iv.bft_pollack,Ben Pollack
10/1/1960,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6897,Sound,6897,"""Big"" Miller Interview--Other Blindfold Tests & Interviews","Leonard Feather interviews Clarence Horatius ""Big"" Miller about how he started his musical career. ""Big"" Miller was an American jazz musician. Leonard Feather hosts one of his blindfold test with multiple unidentified individuals. Leonard Feather interviews an unidentified man about popular jazz musicians. Leonard Feather interviews an unidentified woman. Leonard Feather hosts one of his blindfold tests with musicians including, but not limited to, Mel Torme and Virginia Wicks. 38:28-44:40 Blindfold test plays over an interview; 46:52 Unidentified woman interview; 50:45 Multiple people blindfold test.",lf.iv.bft_morello,Clarence Horatius 'big' Miller; Mel Torme; Virginia Wicks; unidentified man; unidentified woman
1960,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6898,Sound,6898,Kittie Doswell Interview--Roland Kirk Blindfold Test & Interview,Leonard Feather interviews Kittie Doswell about herself. Kittie Doswell was an American jazz vocalist. Roland Kirk participates in one of Leonard Feather's blindfold tests. Feather also interviews Kirk. Roland Kirk was a multi-instrumentalist. Leonard Feather interviews an unidentified woman. 15:40 Blindfold test; 19:30 Roland Kirk talking to Feather; 29:15 Unidentified woman interview.,lf.iv.bft_roland,Kittie Doswell; Roland Kirk; unidentified woman
1965-03,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lfc/id/6899,Sound,6899,Vince Guaraldi Blindfold Test -- Radio Show,Vince Guaraldi participates in one of Leonard Feather's blindfold tests. Vince Guaraldi was an American jazz pianist. Music plays with a radio host commenting in between songs. 13:15 radio show.,lf.iv.bft_tjader,Vince Guaraldi
