title,description,creator,date,theme,keywords,location,latitude,longitude,pages,link,cdmid
Chatcolab 1949,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1949-05-11,,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.375048,-116.763424,102,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/0,0
Chatcolab 1958,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1958-05-11,FriendSHIP,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.373658,-116.764046,190,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/1,1
Chatcolab 1959,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1959-05-10,Loggers Jamboree,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.37402,-116.767075,161,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/2,2
Chatcolab 1960,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1960-05-15,Discovery Days,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.375442,-116.764128,185,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/3,3
Chatcolab 1961,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1961-05-08,Within U.S. One World,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.372563,-116.766683,169,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/4,4
Chatcolab 1962,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1962-05-13,Bridges To-,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.374832,-116.761387,142,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/5,5
Chatcolab 1963,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1963-05-12,Expanding Orbits,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.375808,-116.765725,170,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/6,6
Chatcolab 1964,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1964-05-10,From These Seeds,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.371854,-116.764287,164,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/7,7
Chatcolab 1965,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1965-05-09,The Music of Friendship,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.374554,-116.764688,202,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/8,8
Chatcolab 1966,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1966-05-08,Chatcolab Has the Keys,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.374875,-116.768683,208,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/9,9
Chatcolab 1967,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1967-05-14,Carving a New Image,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.372363,-116.767381,234,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/10,10
Chatcolab Notes for '50',"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1950-05-17,Strangers are but Friends in Disguise,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.374428,-116.763556,105,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/11,11
Chatcolab 1968,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1968-05-12,Count Down for Tomorrow,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.373221,-116.764662,247,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/12,12
Chatcolab 1969,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1969-05-11,Beginnings,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.374736,-116.764917,352,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/13,13
Chatcolab 1970,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1970-05-09,New Horizons,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.373453,-116.762866,130,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/14,14
Chatcolab 1971,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1971-05-09,The Unfolding Process,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.374231,-116.76499,204,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/15,15
Chatcolab 1972,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1972-05-14,Leadership is a Process,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.372261,-116.765087,256,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/16,16
Chatcolab 1973,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1973-05-13,Because We Care(25th Chat),camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.373862,-116.766441,326,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/17,17
Chatcolab 1974,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1974-05-12,Kollege of Knowledge,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.374096,-116.762883,236,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/18,18
Chatcolab 1975,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1975-05-11,Finding Life's Treasures,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Benewah County -- Plummer -- Heyburn State Park -- Chatcolet -- Camp Heyburn,47.375636,-116.763335,270,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/19,19
Chatcolab 1981,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. ",Chatcolab Northwest Leadership Lab,1981-05-10,Take Time to Live,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,United States -- Idaho -- Kootenai County -- Worley -- Camp Larson (Camp Easter Seal),47.443643,-116.838647,161,http://digital.lib.uidaho.edu:80/cdm/ref/collection/chatcolab/id/20,20
