title,author,reader,creatortype,date,keywords,description,grade,id,format,type,link,cdmid
Gorillas,"Miller, Kerstyn",none,Teacher,2014,gorillas; habitat; language,Second-grade level informational text about gorillas,Second,gorillas,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/144,144
Amphibians,"Aune, Chantel",none,Teacher,2014,amphibians,First-grade level informational text about amphibians,First,Amphibians,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/145,145
Digestive System,"Snow, Michelle",none,Teacher,2014,digestive system,Fifth-grade level informtational text about digestive system,Fifth,digestivesystem,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/146,146
Coyotes,"Philips, Laura",Ilsa Rosewood,Teacher,2014,coyotes,Third -grade level informational text about coyotes,Third,coyotes,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/147,147
Pretty Palominos,"McKay, Chelsea",Isla Rosewood,Teacher,2014,palomino horses;horse; habitat,Second-grade level informational text about Palominos,Second,Palominos,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/148,148
Orca Whales,"Kramer, Katie",Isla Rosewood,Teacher,2014,orca; whales,Third -grade level information text about Orca whales,Third,OrcaWhale,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/149,149
The Great Fire of 1910,"Schulz, Gretchen",Isla Rosewood,Teacher,2014,fire; forest; 1910,Fourth-grade level informational text about the The Great Fire,Fourth,thegreatfire,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/150,150
Rainbow Trout,"Bailey, Jessica",Isla Rosewood,Teacher,2014,trout; fish,Second-grade level information text about Rainbow Trout,Second,rainbowtrout,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/151,151
Sea Turtles,"Scott, Holly",Isla Rosewood,Teacher,2014,sea turtles; turtles,Second-grade level informational text about turtles,Second,SeaTurtles,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/152,152
Clouds,"Bain, Crystal",Isla Rosewood,Teacher,2014,,First grade level informational text about clouds.,First,Clouds,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/157,157
Eastern Tailed Blue Butterfly,"Boyd, Brittany",Isla Rosewood,Teacher,2014,,Third grade level informational text about the Eastern Tailed Blue Butterfly .,Third,EasternTailedBlueButterfly,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/158,158
Cuisine of Costa Rica,"Coulthard, Jessica",Isla Rosewood,Teacher,2014,,Fifth grade level informational text about Costa Rica.,Fifth,CostaRica,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/159,159
Farm Animals,"Allen, Michaela",Isla Rosewood,Teacher,2014,,First grade level informational text about farm animals.,First,FarmAnimals,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/160,160
Earth,"Hart, Sierra",Isla Rosewood,Teacher,2014,,Fifth grade level informational text about Earth.,Fifth,Earth,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/161,161
Energy,"Merritt, Kelsy",Isla Rosewood,Teacher,2014,,Fifth grade level informational text about energy.,Fifth,Energy,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/162,162
Holidays,"Blake, Caszie",Isla Rosewood,Teacher,2014,,Third grade level informational text about holidays.,Third,SwedishWinterHolidays,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/163,163
Goldfish,"Nichols, Hannah",Isla Rosewood,Teacher,2014,,Third grade level informational text about goldfish.,Third,goldfish,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/164,164
Idaho,"Patient, Whitney",Isla Rosewood,Teacher,2014,,Kindergarten grade level informational text about Idaho.,Kindergarten,Idaho,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/165,165
Japan,"Saito, Ai",Isla Rosewood,Teacher,2014,,First grade level informational text about Japan.,First,Japan,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/166,166
Labrador Retrievers,"Fowers, Brooke",Isla Rosewood,Teacher,2014,,First grade level informational text about dogs .,First,LabradorRetrievers,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/167,167
Lewis and Clark,"Finley, Annie",Isla Rosewood,Teacher,2014,,Second grade level informational text about Lewis and Clark.,Second,LewisandClark,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/168,168
Mountain Bluebird,"Stewart, Morgan",Isla Rosewood,Teacher,2014,,Fourth grade level informational text about birds.,Fourth,MountainBlueBird,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/169,169
Ngorongoro Crater,"Jensen, Sherry",Isla Rosewood,Teacher,2014,,First grade level informational text about craters.,First,ngorongoro_crater,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/170,170
The Life Cycle of a Pacific Tree Frog,"Rade, Jessica",Isla Rosewood,Teacher,2014,,Second grade level informational text about frogs.,Second,PacificTreeFrogs,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/172,172
Planets,"Murphy, Jennifer",Isla Rosewood,Teacher,2014,,First grade level informational text about planets.,First,Planets,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/173,173
Recycling,"Mahoney, Alex",Isla Rosewood,Teacher,2014,,Fifth grade level informational text about recycling.,Fifth,recycling,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/174,174
The Story of the Lake Missoula Floods,"Shultz, Gretchen",Isla Rosewood,Teacher,2014,,Fourth grade level informational text about floods.,Fourth,TheStoryoftheLakeMFloods,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/175,175
How to Care for Fire Belly Toads,"Carlson, Bri",Isla Rosewood,Teacher,2014,,First grade level informational text about toads.,First,HowtoCareforFireBelliedToads,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/176,176
Wind Turbines,"Butler, Sydney",Isla Rosewood,Teacher,2014,,Fifth grade level informational text about wind turbines.,Fifth,WindTurbines,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/177,177
The Wonderful World of Whales,"Gibson, Jenny",none,Teacher,2014,,Third grade level informational text about whales.,Third,WonderfulWorldofWhales,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/178,178
Wildland Fires,"Golden, Jennifer",Adrienne Vitullo,Teacher,2016,fire; wildfires,informational text about wildland fires,fifth,Wildland_Fires,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/202,202
The ABC&apos;s of Idaho,"Fascilla, Annie",Adrienne Vitullo,Teacher,2016,Idaho; attractions; national parks,informational text about Idaho,first,ABC_Idaho,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/203,203
Beavers,"Babin, Acadia",Adrienne Vitullo,Teacher,2016,Beavers; habitat; wildlife; North America,informational text about beavers,third,Beaver,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/205,205
Constellations,"Day, Sheriden",Adrienne Vitullo,Teacher,2016,Constellations; stars; mythology,informational text about constellations,first,Constellations,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/206,206
Deer of Idaho,"Whitling, Jed",Adrienne Vitullo,Teacher,2016,deer; Idaho; wildlife; habitat,informational text about deer,first,Deer_of_Idaho,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/209,209
Elephants,"Hodge, Sarah",Adrienne Vitullo,Teacher,2016,elephants; Africa; Asia,informational text about elephants,third,Elephant,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/211,211
Emily Noether,"Hardy, Jordan",Adrienne Vitullo,Teacher,2016,math; history; feminism,informational text about Emily Noether,sixth,Noether,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/213,213
Emperor Penguins,"Reynolds, Jill",Adrienne Vitullo,Teacher,2016,penguins; Antarctica,informational text about Emperor penguins,first,Emperor_Penguin,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/215,215
The Monarch Butterfly,"Hull, Daly",Adrienne Vitullo,Teacher,2016,butterfly; nature; life cycle,informational text about Monarch butterflies,first,Monarch_Butterfly,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/216,216
Olympic National Park,"Trager, Zoe",Adrienne Vitullo,Teacher,2016,national parks; nature; climate; weather,informational text about Olympic National Park,first,Olympic_Park,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/218,218
Pacific Northwest,"Fisher, Genna",Adrienne Vitullo,Teacher,2016,geography; regions; location; climate,informational text about the Pacific Northwest,sixth,Pacific_Northwest,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/221,221
Life on the Farm,"Wallen, Brianna",Adrienne Vitullo,Teacher,2016,farm animals,informational text about farms animals,first,Farm,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/223,223
How To Pack A Parachute,"Turco, Spyder",Adrienne Vitullo,Teacher,2016,parachutes; adventure; airplanes,informational text about using parachutes,fourth,Parachute,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/224,224
Pugs,"Rasulo, Abbie",Adrienne Vitullo,Teacher,2016,pugs; dogs,informational text about pugs,first,Pug,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/227,227
The Fish of Idaho,"Brown, Jaleh",Adrienne Vitullo,Teacher,2016,fish; salmon; trout; Idaho,informational text about fish in Idaho,fourth,Fish_of_Idaho,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/229,229
Sea Turtles,"Ratcliff, Kristen",Adrienne Vitullo,Teacher,2016,sea turtles; turtles,informational text about sea turtles,second,Sea_Turtles2,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/230,230
