title,description,creator,date,timelinedate,Date is approximate,subject,coverage,Latitude,Longitude,format,type,langauge,identifier,source,filename,Contributor,url,item,id,type,title,title
August 21st Letter to Stanley Easton from Operator 61,"In this letter, Operator 61 writes to Standley Easton about men in the mines who refrain from talking about unions to him. In the letter, three men are identified by name as David Aulh, Riley a machine man, and ""Kitty,"" who are discussing something in which they do not include Operator 61 in on the conversation. As Operator 61 advances towards them, the men move back to their stations and begin working. ",Operator 61,1906-08-21,1906-08-21,No,letters; easton; stanley; detective,"Kellogg, Idaho",47.536556,-116.122207,Letter,text,english,MG367_B75_F1581-14,MG367,MG367_B75_F1581-14.pdf,Breeanna Gibson,http://digital.lib.uidaho.edu/hist404/MG367_B75_F1581-14.pdf,51,8c25f5bdba41accdf809d6edf8707be9ce7ec5b0,pdf,August 21st Letter to Stanley Easton from Operator 61,August 21st Letter to Stanley Easton from Operator 61
August 26 th Letter to Stanley Easton from Operator 61,"In this letter, Operator 61 describes his conversation with Jim Heron who believes in Unionism, and is working in the Chance Mine.",Operator 61,1906-08-26,1906-08-26,No,letters; easton; stanley; detective,"Kellogg, Idaho",47.534825,-116.116413,Letter,image,english,MG367_B75_F1581-17,MG367,MG367_B75_F1581-17.jpg,Breeanna Gibson,http://digital.lib.uidaho.edu/hist404/MG367_B75_F1581-17.jpg,50,3b20c72e74d018ec78176a4614b3ccc0683e4ee9,jpg,August 26 th Letter to Stanley Easton from Operator 61,August 26 th Letter to Stanley Easton from Operator 61
Autgust 28th Letter to Stanley Easton from Operator 61,"In this letter, Operator 61 describes a man named Geo Foster who supports socialism and works in the Chance Mines. Operator 61 also describes hearing men talk at a saloon who came to work in the mines and go by the names of Bill and James. Towards the end of the letter, Operator 61 describes the men's dress, weight, height, and physical appearance. ",Operator 61,1906-08-28,1906-08-28,No,letters; easton; stanley; detective,"Kellogg, Idaho",47.534325,-116.126739,Letter,text,english,MG367_B75_F1581-18,MG367,MG367_B75_F1581-18.pdf,Breeanna Gibson,http://digital.lib.uidaho.edu/hist404/MG367_B75_F1581-18.pdf,49,ad6bd4553916feb4a8d2bc9968c4350eba09686c,pdf,Autgust 28th Letter to Stanley Easton from Operator 61,Autgust 28th Letter to Stanley Easton from Operator 61
Bull Pen,interior showing bunks and group of men,,circa 1899,1899,yes,"living quarters, miners","Kellogg, Idaho",,,black and white photo,image,,PG8-X536,Barnard-Stockbridge,PG8_X536.jpg,Daniel Case,http://digital.lib.uidaho.edu/hist404/PG8_X536.jpg,89,e6e7ecd798b29f8889441a373b7acbaa1462a72e,jpg,Bull Pen,Bull Pen
Bull Pen,Interior of bunks where 15+ men are sitting.,"Barnard,T.N.; Stockbridge,Nelly",1899,1899,Yes,working men; bunks; barracks; miners; ,U.S.-Idaho-Shoshone-Kellogg,,,4x5 black and white photograph,image,eng,PG8-X537,Stanley Easton Papers pg 8,PG8_X537.jpg,Ali Hurt,http://digital.lib.uidaho.edu/hist404/PG8_X537.jpg,88,7f8b112dc612f8da2eab74b0a926ed94bfa6e800,jpg,Bull Pen,Bull Pen
Bunker Hill and Sullivan Ore Bins ,Four men at the Bunker Hill and Sullivan Ore Bins ,"Barnard, T.N.; Stockbridge, Nelly ",1915/1920,1917,Yes,mine; working men; miners,"Wardner, Idaho ",47.511603,-116.140298,4x5 black and white photograph,image ,english ,PG8_X539,PG8,PG8_X539.jpg,Breeanna Gibson,http://digital.lib.uidaho.edu/hist404/PG8_X539.jpg,18,d8d8619b3848beef092fdcab0d33ba60b91a4b05,jpg,Bunker Hill and Sullivan Ore Bins,Bunker Hill and Sullivan Ore Bins 
Bunker Hill Mine ,"first workings of bunker hill, showing original outcrop and tramway",,circa 1890,1890,yes,landscape; mountain side,"Wardner, Idaho",,,black and white photograph,image,,PG8-X535,Barnard-Stockbridge ,PG8-X535.jpg,Daniel Case,http://digital.lib.uidaho.edu/hist404/PG8-X535.jpg,90,36583946e1cff8f70a10f53bbfd196202543444d,jpg,Bunker Hill Mine,Bunker Hill Mine 
"Bunker Hill Mine, Warder outcrop of tramway",Photograph of landscape of tramway of Bunker Hill Mine,,,,,"Bunker Hill Mine; Tramway, Wardner","Wardner, ID",47.5227,-116.1341,Photograph,Image,English,PG8-X535,Barnard-Stockbridge Collection,PG8-X535.jpg,Chloe O'Neill,http://digital.lib.uidaho.edu/hist404/PG8-X535.jpg,25,43102b721e0215848a68fdf2add0a10df260bc61,jpg,"Bunker Hill Mine, Warder outcrop of tramway","Bunker Hill Mine, Warder outcrop of tramway"
"Bunker Hill Mine, Wardner, Idaho","First Workings of Bunker Hill, showing original outcrop and tramway","Stockbridge, Nellie; Barnard, T.N..",Circa 1905,1905,,Bunker Hill Mine; tramway; logs; flume; wood buildings; mountainside; pine trees; ,United States--Idaho--Shoshone County--Wardner,47.511668,-116.14512,4x5 black and white,image;stillimage,eng,PG8-X535,PG 8 Barnard-Stockbridge Collection,PG8-X535.jpg,Matt McCune,http://digital.lib.uidaho.edu/hist404/PG8-X535.jpg,21,ecebca100943930d89cdb16ee0fc03ea02bcbe48,jpg,"Bunker Hill Mine, Wardner, Idaho","Bunker Hill Mine, Wardner, Idaho"
"Clear Grit Mining Co. Prichard, ID",Showing group in front of mine,"Barnard, T.N.; Stockbridge, Nellie",1890,1890,Approximate,Clear Grit Mining Co.; Prichard; mining; miners; ore wagons; mine entrance;,"Prichard, ID",47.656314,-115.976279,photo,image,Eng,PG8-X541A,Barnard Stockbridge Collection,PG8-X541A001.jpg,John,http://digital.lib.uidaho.edu/hist404/PG8-X541A001.jpg,61,aaefc3e0ad6cba72f6f3559e82cf6b9f3a517946,jpg,"Clear Grit Mining Co. Prichard, ID","Clear Grit Mining Co. Prichard, ID"
