id,link,type,cdmid,title,format,rights,description,publisher,date,source,keywords,coverage,aprox,latitude,longitude,relation
Gale_DeepCreek2-01a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/0,Image;StillImage,0,Logging Camp in Canada,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,A photograph of a group of men and mules at a logging camp in Canada.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1905,"Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",Logging; Canada; Camp; Mules,United States--Idaho--Latah County--Deep Creek,yes,,,
Gale_DeepCreek2-06a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/1,Image;StillImage,1,McMurray and Strong at Old Mine,image/jpg,https://rightsstatements.org/vocab/InC-EDU/1.0/,Wayne McMurray and Dwight Strong coming from the old mine on W. McMurray Place (old Alva Strong Place) in Deep Creek area Idaho.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1984-08-11,"Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",mine; tour; forest; people; walking,United States--Idaho--Latah County--Deep Creek,,47.00643,-116.91079,
Gale_DeepCreek1-21,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/2,Image;StillImage,2,Conklin Place,image/jpeg,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Workers Howard Wilcox, Leta Kislig, Ivan Clark, Rose Clark, Alfred Weible, Bill Leistner, Bud McKown, Art Kislig, Dave Kelmer, and Randolph Zimmerman plowing a field with a team of draft horses.  Photograph taken about 1926.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1926,"Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",,United States--Idaho--Latah County--Deep Creek,yes,,,
Gale_WI&M Railroad_42a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/3,Image;StillImage,3,"Deary, Idaho",image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"View of Deary, Idaho. Many buildings can be seen all around the town and a hill can be seen in the background.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1908,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",towns; buildings,United States--Idaho--Latah County--Deary,yes,46.797905,-116.551546,
Gale_WI&M Railroad_42b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/4,Image;StillImage,4,Railroad Car,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"View of a WI&M railroad car. Behind the car, stacks of logs can be seen being hauled in more railroad cars.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",railroad cars; logging,United States--Idaho--Latah County,yes,,,
Gale_WI&M Railroad_41b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/5,Image;StillImage,5,WI&M Passenger Train,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,Early view of the WI&M passenger train surrounded by snow. The train can be seen on the railroad tracks.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",railroad tracks; passenger trains,United States--Idaho--Latah County,yes,,,Gale File
Gale_WI&M Railroad_43a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/6,Image;StillImage,6,Logging Train,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"A train leaving Bovill, headed for Potlatch. The locomotive can be seen pulling loads of logs and steam can be seen coming out of the locomotive. Buildings can be seen in the background.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1907,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",locomotives; logging,United States--Idaho--Latah County--Bovill,yes,46.861052,-116.397826,
Gale_WI&M Railroad_44a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/7,Image;StillImage,7,Longest Logging Train,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"View of the longest log train in the world. The train of logs is for Potlatch Lumber Company and consists of 105 cars, with a length of one mile. The train can be seen between Potlatch and Princeton. Old 'Company Ranch' buildings can be seen in the background.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1907,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",trains; logging; mills,United States--Idaho--Latah County--Harvard,yes,46.917433,-116.730206,Gale File
Gale_WI&M Railroad_44b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/8,Image;StillImage,8,Longest Logging Train,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"View of the lonest log train in the wrold. The view of the flat is West of Harvard, while looking East. Edwards Mill can be seen to the left of the train.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1907,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",trains; logging,United States--Washington--Whitman County--Palouse,yes,46.935225,-116.946555,Gale File
Gale_WI&M Railroad_43b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/9,Image;StillImage,9,Train Wreck,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"View of a train wreck. The locomotive can still be seen on the track, while the railroad cars can be seen piled up next to the track.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1907,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",locomotives; railroad cars; wrecks,United States--Idaho--Latah County,yes,,,Gale File
