Title	Creator	Description	Date	Date Approximate	Keywords	Source	Publisher	Book Relationship	Identifier	Format Original	Format Digital	Type	Rights	Language	Date Digital	Location	Geonames	Latitude	Longitude	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Typical Logging Chute		Typical log chute with tread for horses used in trailing, near Big Creek in the St. Joe River area. Courtesy of St. Maries Gazette-Record.	1915-01-01	yes	chutes; log (wood);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 111	69_2_B-28	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			East Fork Big Creek, Latah County, Idaho, United States	http://www.geonames.org/5591912/east-fork-big-creek.html	46.9906	-116.7001			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/4	4	102.jp2	/whitepine/image/102.jp2
White Pine Sale		White pine Log Decks, Potlatch Forests Incorporated Sale Homestead Creek. Neil Fullerton with scale stick on deck of white pine logs, St. Joe National Forest. Taken in July. This sale was strictly a White Pine Sale except for a few choice Spruce and Larch which were taken from the road right away. Courtesy Neil Fullerton.	1940-01-01		portraits; log (wood); sales events;  white pine (wood);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 130	69_2_B-36	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Baby Grand Mountain, Latah County, Idaho, United States	http://www.geonames.org/5584423/baby-grand-mountain.html	47.0041	-116.5056			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/14	14	111.jp2	/whitepine/image/111.jp2
Clarence Charles Strong	Charles Sowder	Portrait of Strong, who was one of the authors of the book ""White Pine: King of Many Waters"".	1969-01-01	yes	portraits;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. ii	69_2_B-1	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Kootenai County, Idaho, United States	http://www.geonames.org/5597922/kootenai-county.html	47.6746	-116.7000			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/40	40	135.jp2	/whitepine/image/135.jp2
Clyde Stephen Webb		Portrait of Webb, who was one of the authors of the book ""White Pine: King of Many Waters"".	1954-01-01	yes	portraits;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. ii	69_2_B-2	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Kootenai County, Idaho, United States	http://www.geonames.org/5597922/kootenai-county.html	47.6746	-116.7000			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/41	41	136.jp2	/whitepine/image/136.jp2
Logs Towed Down St. Maries River	Neil Fullerton	Brailed booms of logs being towed along narrow St. Maries River channel.	1942-06-06		log (wood); rivers;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 129. Also print.	69_2_B-7	black and white negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Stickney Gulch, Benewah County, Idaho, United States	http://www.geonames.org/5608953/stickney-gulch.html	47.2554	-116.6053			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/43	43	138.jp2	/whitepine/image/138.jp2
Tugboat ""Coeur d'Alene""		Tugboat towing logs on St. Joe River.	1941-05-08	yes	log (wood); rivers; tugboats;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company	WPKOMW p. 127	69_2_B-11	black and white print	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Stickney Gulch, Benewah County, Idaho, United States	http://www.geonames.org/5608953/stickney-gulch.html	47.2594	-116.6044			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/44	44	139.jp2	/whitepine/image/139.jp2
Tugboat ""Hercules""	Neil Fullerton	Tugboat ""Hercules"" towing several brails of logs on St. Maries River. Picture taken from the old bridge, new bridge in background.	1942-06-06		tugboats; rivers; log (wood); bridges (built works); houseboats;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-10	black and white negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Saint Maries River, Benewah County, Idaho, United States	http://www.geonames.org/5606239/saint-maries-river.html	47.3168	-116.5548			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/46	46	140.jp2	/whitepine/image/140.jp2
Tugboat ""Hercules""	Neil Fullerton	Tugboat ""Hercules"" (a Lafferty Company tugboat) and it's driver towing a brail of logs on the St. Maries River. Note the new bridge in the background.	1942-06-06		tugboats; rivers; log (wood); bridges (built works); shipmasters;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-9	black and white negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Stickney Gulch, Benewah County, Idaho, United States	http://www.geonames.org/5608953/stickney-gulch.html	47.2594	-116.6044			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/47	47	141.jp2	/whitepine/image/141.jp2
Tugboat ""Hercules""	Neil Fullerton	Tugboat ""Hercules"" towing  several brails of logs on the St. Maries River. Note the new bridge in the background.	1942-06-06		tugboats; rivers; log (wood); bridges (built works);	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-12	black and white negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Saint Maries River, Benewah County, Idaho, United States	http://www.geonames.org/5606239/saint-maries-river.html	47.3168	-116.5548			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/48	48	142.jp2	/whitepine/image/142.jp2
Corliss Steam Engine Sign	Neil Fullerton	Corliss Steam Engine sign in Newport, Washington. Sign reads as follows: ""Corliss Steam Engine 'The Big Wheel'. Engine Data- 478 Horsepower, 22 inch cylinder-42 inch stroke, 120 pounds P.S.I. steam pressure, 63,000 pounds in weight. Wheel data- 16 feet in diameter, 100 R.P.M., 42 inch face, 20,000 pounds in weight. The Big Wheel was manufactured by Aliss Chalmers in 1909 and moved to Newport by the Fidelity Lumber Company. It was in continuous service for 55 years, cutting over 1 billion board feet of lumber. In 1964 the engine was donated to the Newport JC's by the Diamond National Corporation to preserve a part of a passing era. The Newport JC's then moved and erected the engine at this site. It was dedicated by Governor Daniel J. Evans June 14, 1965 and presented to the city of Newport.""	1967-04-15		information signs;	PG 6069 MG 69, White Pine: King of Many Waters Collection	Mountain Press Publishing Company		69_2_I-14	black and white negative	image/jpg	Image;StillImage	Digital image, University of Idaho Library, 2015.			Newport, Pend Oreille County, Washington, United States	http://www.geonames.org/5804694/newport.html	48.1819	-117.0354			2016-08-12	2016-08-12	http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/49	49	143.jp2	/whitepine/image/143.jp2
